Source,Target,Time
824432287378870272,915978710142001152,2018-09-28 05:52:11
528541225,915978710142001152,2018-09-28 05:52:02
860575293156737025,900574871377199104,2018-09-28 05:51:58
630746986,82316754,2018-09-28 05:51:52
4888020279,705494211538194432,2018-09-28 05:51:51
1511862386,2519832906,2018-09-28 05:51:33
946696994050883585,705494211538194432,2018-09-28 05:51:30
2519082643,438832278,2018-09-28 05:51:21
912604966144978944,1005096250507579392,2018-09-28 05:51:17
912604966144978944,998745151408259072,2018-09-28 05:51:17
912604966144978944,885540895721783297,2018-09-28 05:51:17
912604966144978944,324416283,2018-09-28 05:51:17
912604966144978944,40580714,2018-09-28 05:51:17
912604966144978944,366987179,2018-09-28 05:51:17
1014783118870380544,438832278,2018-09-28 05:51:17
847267960439713795,3177957847,2018-09-28 05:51:11
809475815574384640,915978710142001152,2018-09-28 05:51:03
809475815574384640,438832278,2018-09-28 05:51:03
2885492048,82316754,2018-09-28 05:51:02
728851720286003200,705494211538194432,2018-09-28 05:50:56
751699355719970816,927683102,2018-09-28 05:50:51
751699355719970816,366987179,2018-09-28 05:50:51
751699355719970816,40580714,2018-09-28 05:50:51
751699355719970816,14681792,2018-09-28 05:50:51
992221338575167489,3177957847,2018-09-28 05:50:47
826474447733354496,915978710142001152,2018-09-28 05:50:41
826474447733354496,438832278,2018-09-28 05:50:41
918133566378143744,1022185072248610816,2018-09-28 05:50:40
1368721652,915978710142001152,2018-09-28 05:50:36
856792100997742592,82316754,2018-09-28 05:50:35
4852766363,2519832906,2018-09-28 05:50:34
926628266202480640,702353778335289345,2018-09-28 05:50:30
926628266202480640,1006771503956979712,2018-09-28 05:50:30
926628266202480640,40580714,2018-09-28 05:50:30
1010795940796497922,366987179,2018-09-28 05:50:29
1010795940796497922,40580714,2018-09-28 05:50:29
920944037321773056,2519832906,2018-09-28 05:50:26
3013191098,915978710142001152,2018-09-28 05:50:16
3013191098,438832278,2018-09-28 05:50:16
961241216598736896,3177957847,2018-09-28 05:50:14
2523611274,807469432222007297,2018-09-28 05:50:06
1243195502,915978710142001152,2018-09-28 05:50:06
1243195502,438832278,2018-09-28 05:50:06
864141367831797760,746241503714934784,2018-09-28 05:50:03
