username,date,tweet,sentiment,lat,lon,location
SuaraIndonesi20,"Mar,08",Balita Stunting Jadi Prioritas Penerima PDAM Gratis Tahun Ini suaraindonesia-news.com/balita-stuntinâ€¦ lewat @Bangkit bersama rakyat,pos,-0.789275,113.921,Indonesia
jowotulen101,"Apr,19","Berdasarkan Hasil Utama Riset Kesehatan Dasar (Riskesdas) 2018 Kementerian Kesehatan RI, Pada tahun 2013 angka balita stunting mencapai 37,8 persen. Tapi di tahun 2018 jumlahnya sudah turun sebanyak 7 persen menjadi 30,8 persen.",pos,-7.79558,110.369,Yogyakarta Kota Yogyakarta Daerah Istimewa Yogyakarta Indonesia
xxintan,"Apr,19","Oh yaya. Saya sangat senang ya ketika di banten masih ada 200 balita stunting dan 63 lainnya busung lapar, presidennya malah asyik main Meubel Legend. Urusin dulu rakyatnya masih ada yg kelaparan malah ispat ispot yunikon???? pake divisi divisi pulak ????",pos,-6.12568,106.794,No.2 Jalan Pluit Raya 1 16 8 Penjaringan Kecamatan Penjaringan Kota Jakarta Utara Daerah Khusus Ibukota Jakarta Indonesia 14440
InfoBaKTI,"Apr,04","Prevalensi balita stunting dari tahun 2015-2017 di Kabupaten Kubu Raya Kalimantan Barat mengalami peningkatan, 2015 sebesar 19,1% dan di tahun 2017 menjadi 34,8%. Apa penyebab utama tingginya... batukarinfo.com/melayani/beritâ€¦",pos,-5.14767,119.433,Makassar Kota Makassar Sulawesi Selatan Indonesia
SuminarsihS,"Apr,02","Kunjungan ibu hamil oleh bidan desa
Kunjungan neonatal dan kunjungan sekaligus pemberian PMT pada balita stunting
#ukmgabus1
#semangatturunkanAKIAKB
@SumarniGrobogan
@BokGrobogan
@dinkesgrobogan
@pkmgabus1 pic.twitter.com/MiRYpxffdz",pos,-0.789275,113.921,Indonesia
acehapRG,"Apr,01",Gambaran Prevalensi Balita Stunting dan Faktor yang Berkaitan di Indonesia: Analisis Lanjut Profil Kesehatan Indonesia Tahun 2017 acehap.org/2019/04/01/gamâ€¦ pic.twitter.com/ZdwA6cMIY5,pos,-7.25747,112.752,Surabaya Kota Surabaya Jawa Timur Indonesia
evian_6,"May,28","- ibu hamil yg anemia akan beresiko mengalami perdarahan saat melahirkan, beresiko melahirkan bayi yg berat lahirnya <2500gr (BBLR) dan bayi BBLR beresiko menjadi balita stunting.",pos,-0.789275,113.921,Indonesia
KaparangAnnita,"May,15","Butuh kerja keras,dan perhatian lebuh untuk mencegah Balita Stunting. Ayo... TPG Puskesmas , Enjoy... Enjoy... Enjoy... ???????????? pic.twitter.com/WcMyPyX4mX",pos,1.29104,124.652,Tumpaan Kabupaten Minahasa Selatan Sulawesi Utara Indonesia
ME_harianumum,"May,07","WONOSOBO - Angka balita  stunting di Kabupaten Wonosobo  sesuai hasil pemantauan tahun 2017 sebanyak 29,34 persen. Stunting tidak hanya disebabkan faktor gizi buruk yang dialami oleh ibu hamil maupunâ€¦ instagram.com/magelang_eksprâ€¦",pos,-7.47973,110.218,Magelang Kota Magelang Jawa Tengah Indonesia
rimmaco,"Jun,19","terkait dengan layanan kesehatan dan kualitas modal manusia. NTT menjadi fokus wilayah kerja 1000 Days Fund karena prevalansi stunting di provinsi ini masih tinggi. Dikutip dari ntt.bps.go.id, berdasarkan Riskesdas 2018 prevalensi balita stunting di NTT",pos,-0.789275,113.921,Indonesia
